Date,Close
5/11/2018 16:00:00,31.47
5/14/2018 16:00:00,31.18
5/15/2018 16:00:00,31.1
5/16/2018 16:00:00,31.29
5/17/2018 16:00:00,31.45
5/18/2018 16:00:00,31.45
5/21/2018 16:00:00,31.68
5/22/2018 16:00:00,31.87
5/23/2018 16:00:00,31.79
5/24/2018 16:00:00,31.8
5/25/2018 16:00:00,31.92
5/29/2018 16:00:00,31.42
5/30/2018 16:00:00,31.73
5/31/2018 16:00:00,31.93
6/1/2018 16:00:00,32.34
6/4/2018 16:00:00,32.5
6/5/2018 16:00:00,32.42
6/6/2018 16:00:00,32.62
6/7/2018 16:00:00,32.66
6/8/2018 16:00:00,32.75
6/11/2018 16:00:00,32.9
6/12/2018 16:00:00,32.82
6/13/2018 16:00:00,33.04
6/14/2018 16:00:00,33.3
6/15/2018 16:00:00,33.26
6/18/2018 16:00:00,33.04
6/19/2018 16:00:00,32.73
6/20/2018 16:00:00,32.74
6/21/2018 16:00:00,32.44
6/22/2018 16:00:00,32.54
6/25/2018 16:00:00,31.99
6/26/2018 16:00:00,31.78
6/27/2018 16:00:00,31.84
6/28/2018 16:00:00,31.71
6/29/2018 16:00:00,32.17
7/2/2018 16:00:00,33.16
7/3/2018 13:00:00,34.25
7/5/2018 16:00:00,35.13
7/6/2018 16:00:00,35.53
7/9/2018 16:00:00,35.11
7/10/2018 16:00:00,34.94
7/11/2018 16:00:00,34.63
7/12/2018 16:00:00,35.06
7/13/2018 16:00:00,35.21
7/16/2018 16:00:00,35.33
7/17/2018 16:00:00,35.71
7/18/2018 16:00:00,36.23
7/19/2018 16:00:00,35.64
7/20/2018 16:00:00,35.95
7/23/2018 16:00:00,35.99
7/24/2018 16:00:00,36.19
7/25/2018 16:00:00,36.05
7/26/2018 16:00:00,36
7/27/2018 16:00:00,35.29
7/30/2018 16:00:00,34.96
7/31/2018 16:00:00,34.92
8/1/2018 16:00:00,34.78
8/2/2018 16:00:00,34.72
8/3/2018 16:00:00,35.01
8/6/2018 16:00:00,35.28
8/7/2018 16:00:00,35.56
8/8/2018 16:00:00,35.97
8/9/2018 16:00:00,35.77
8/10/2018 16:00:00,35.35
8/13/2018 16:00:00,34.99
8/14/2018 16:00:00,35.76
8/15/2018 16:00:00,35.41
8/16/2018 16:00:00,35.85
8/17/2018 16:00:00,36.2
8/20/2018 16:00:00,36.8
8/21/2018 16:00:00,36.49
8/22/2018 16:00:00,36.41
8/23/2018 16:00:00,36.3
8/24/2018 16:00:00,36.7
8/27/2018 16:00:00,36.88
8/28/2018 16:00:00,36.72
8/29/2018 16:00:00,36.92
8/30/2018 16:00:00,36.89
8/31/2018 16:00:00,36.91
9/4/2018 16:00:00,36.91
9/5/2018 16:00:00,36.46
9/6/2018 16:00:00,35.46
9/7/2018 16:00:00,35.26
9/10/2018 16:00:00,35.9
9/11/2018 16:00:00,35.64
9/12/2018 16:00:00,35.8
9/13/2018 16:00:00,35.94
9/14/2018 16:00:00,36.8
9/17/2018 16:00:00,37.1
9/18/2018 16:00:00,37.53
9/19/2018 16:00:00,37.5
9/20/2018 16:00:00,37.78
9/21/2018 16:00:00,39.49
9/24/2018 16:00:00,39.69
9/25/2018 16:00:00,39.04
9/26/2018 16:00:00,38.57
9/27/2018 16:00:00,38.1
9/28/2018 16:00:00,38.08
10/1/2018 16:00:00,38.76
10/2/2018 16:00:00,38.5
10/3/2018 16:00:00,39.04
10/4/2018 16:00:00,37.69
10/5/2018 16:00:00,37.34
10/8/2018 16:00:00,37.25
10/9/2018 16:00:00,37.16
10/10/2018 16:00:00,34.78
10/11/2018 16:00:00,34.59
10/12/2018 16:00:00,34.85
10/15/2018 16:00:00,35.15
10/16/2018 16:00:00,36
10/17/2018 16:00:00,36.09
10/18/2018 16:00:00,35.3
10/19/2018 16:00:00,34.65
10/22/2018 16:00:00,34.35
10/23/2018 16:00:00,33.78
10/24/2018 16:00:00,32
10/25/2018 16:00:00,32.74
10/26/2018 16:00:00,31.73
10/29/2018 16:00:00,30.43
10/30/2018 16:00:00,31.74
10/31/2018 16:00:00,32.36
11/1/2018 16:00:00,33.61
11/2/2018 16:00:00,33.2
11/5/2018 16:00:00,33.83
11/6/2018 16:00:00,34.28
11/7/2018 16:00:00,35.17
11/8/2018 16:00:00,35.35
11/9/2018 16:00:00,33.99
11/12/2018 16:00:00,33.19
11/13/2018 16:00:00,33.36
11/14/2018 16:00:00,32.92
11/15/2018 16:00:00,32.5
11/16/2018 16:00:00,32.46
11/19/2018 16:00:00,31.8
11/20/2018 16:00:00,30.99
11/21/2018 16:00:00,32.43
11/23/2018 13:00:00,33.18
11/26/2018 16:00:00,34.37
11/27/2018 16:00:00,33.82
11/28/2018 16:00:00,34.1
11/29/2018 16:00:00,33.75
11/30/2018 16:00:00,33.73
12/3/2018 16:00:00,34.85
12/4/2018 16:00:00,32.71
12/6/2018 16:00:00,32.1
12/7/2018 16:00:00,31.42
12/10/2018 16:00:00,30.49
12/11/2018 16:00:00,30.52
12/12/2018 16:00:00,30.5
12/13/2018 16:00:00,30.4
12/14/2018 16:00:00,29.76
12/17/2018 16:00:00,28.8
12/18/2018 16:00:00,28.7
12/19/2018 16:00:00,27.6
12/20/2018 16:00:00,27.71
12/21/2018 16:00:00,28.51
12/24/2018 13:00:00,28.98
12/26/2018 16:00:00,30.64
12/27/2018 16:00:00,30.46
12/28/2018 16:00:00,30.09
12/31/2018 16:00:00,29.81
1/2/2019 16:00:00,30.07
1/3/2019 16:00:00,29.23
1/4/2019 16:00:00,30.23
1/7/2019 16:00:00,31.13
1/8/2019 16:00:00,31.4
1/9/2019 16:00:00,31.74
1/10/2019 16:00:00,31.73
1/11/2019 16:00:00,31.97
1/14/2019 16:00:00,31.98
1/15/2019 16:00:00,32.23
1/16/2019 16:00:00,32.58
1/17/2019 16:00:00,32.64
1/18/2019 16:00:00,32.91
1/22/2019 16:00:00,32.59
1/23/2019 16:00:00,32.36
1/24/2019 16:00:00,32.51
1/25/2019 16:00:00,32.99
1/28/2019 16:00:00,33.19
1/29/2019 16:00:00,33.16
1/30/2019 16:00:00,33.14
1/31/2019 16:00:00,33.7
2/1/2019 16:00:00,34
2/4/2019 16:00:00,34.36
2/5/2019 16:00:00,34.62
2/6/2019 16:00:00,34.57
2/7/2019 16:00:00,34.51
2/8/2019 16:00:00,33.76
2/11/2019 16:00:00,33.3
2/12/2019 16:00:00,33.6
2/13/2019 16:00:00,33.77
2/14/2019 16:00:00,33.2
2/15/2019 16:00:00,33.35
2/19/2019 16:00:00,33.5
2/20/2019 16:00:00,34.42
2/21/2019 16:00:00,34.01
2/22/2019 16:00:00,33.65
2/25/2019 16:00:00,33.9
2/26/2019 16:00:00,33.72
2/27/2019 16:00:00,33.53
2/28/2019 16:00:00,33.39
3/1/2019 16:00:00,33.54
3/4/2019 16:00:00,33.7
3/5/2019 16:00:00,33.47
3/6/2019 16:00:00,33.72
3/7/2019 16:00:00,33.23
3/8/2019 16:00:00,32.94
3/11/2019 16:00:00,33.49
3/12/2019 16:00:00,33.63
3/13/2019 16:00:00,34.22
3/14/2019 16:00:00,34.43
3/15/2019 16:00:00,34.88
3/18/2019 16:00:00,35.47
3/19/2019 16:00:00,35.06
3/20/2019 16:00:00,34.82
3/21/2019 16:00:00,35.25
3/22/2019 16:00:00,34.32
3/25/2019 16:00:00,34.14
3/26/2019 16:00:00,34.51
3/27/2019 16:00:00,34.41
3/28/2019 16:00:00,34.61
3/29/2019 16:00:00,34.97
4/1/2019 16:00:00,35.4
4/2/2019 16:00:00,34.63
4/3/2019 16:00:00,34.82
4/4/2019 16:00:00,34.72
4/5/2019 16:00:00,34.81
4/8/2019 16:00:00,34.83
4/9/2019 16:00:00,34.45
4/10/2019 16:00:00,34.76
4/11/2019 16:00:00,34.87
4/12/2019 16:00:00,35.53
4/15/2019 16:00:00,35.54
4/16/2019 16:00:00,35.79
4/17/2019 16:00:00,35.93
4/18/2019 16:00:00,38.62
4/22/2019 16:00:00,39.02
4/23/2019 16:00:00,39.73
4/24/2019 16:00:00,39.93
4/25/2019 16:00:00,40.14
4/26/2019 16:00:00,40.19
4/29/2019 16:00:00,40.51
4/30/2019 16:00:00,39.46
5/1/2019 16:00:00,39.85
5/2/2019 16:00:00,39.57
5/3/2019 16:00:00,40.06
5/6/2019 16:00:00,39.11
5/7/2019 16:00:00,38.85
5/8/2019 16:00:00,39.09
5/9/2019 16:00:00,39.49
5/10/2019 16:00:00,39.81
5/13/2019 16:00:00,38.8
5/14/2019 16:00:00,39.39
5/15/2019 16:00:00,39.58
5/16/2019 16:00:00,40.4
5/17/2019 16:00:00,40.65
